0: NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
1: OR233321.1 Horseshoe bat sarbecovirus isolate Rt22QT53 surface glycoprotein gene, complete cds
2: OR233320.1 Horseshoe bat sarbecovirus isolate Rt22QT48 surface glycoprotein gene, complete cds
3: OR233316.1 Horseshoe bat sarbecovirus isolate Rt22QT161 surface glycoprotein gene, complete cds
4: OR233300.1 Horseshoe bat sarbecovirus isolate Rt22QT124 surface glycoprotein gene, complete cds
5: OR233318.1 Horseshoe bat sarbecovirus isolate Rt22QT36 surface glycoprotein gene, complete cds
6: OR233319.1 Horseshoe bat sarbecovirus isolate Rt22QT46 surface glycoprotein gene, complete cds
7: OR233317.1 Horseshoe bat sarbecovirus isolate Rt22QT178 surface glycoprotein gene, complete cds
8: OR233315.1 Horseshoe bat sarbecovirus isolate Ra22QT27 surface glycoprotein gene, complete cds
9: OR233299.1 Horseshoe bat sarbecovirus isolate Rt22QB8 surface glycoprotein gene, complete cds
10: OR233298.1 Horseshoe bat sarbecovirus isolate Rt22QB78 surface glycoprotein gene, complete cds
11: OR233326.1 Horseshoe bat sarbecovirus isolate Ra22DB173 surface glycoprotein gene, complete cds
12: OR233325.1 Horseshoe bat sarbecovirus isolate Ra22DB163 surface glycoprotein gene, complete cds
13: OR233314.1 Horseshoe bat sarbecovirus isolate Rt22SL92 surface glycoprotein gene, complete cds
14: OR233312.1 Horseshoe bat sarbecovirus isolate Rt22SL58 surface glycoprotein gene, complete cds
15: OR233313.1 Horseshoe bat sarbecovirus isolate Rt22SL85 surface glycoprotein gene, complete cds
16: OR233311.1 Horseshoe bat sarbecovirus isolate Rt22SL130 surface glycoprotein gene, complete cds
17: OR233301.1 Horseshoe bat sarbecovirus isolate Rt22SL115 surface glycoprotein gene, complete cds
18: OR233303.1 Horseshoe bat sarbecovirus isolate Rt22SL9 surface glycoprotein gene, complete cds
19: OR233310.1 Horseshoe bat sarbecovirus isolate Rt22DB38 surface glycoprotein gene, complete cds
20: OR233294.1 Horseshoe bat sarbecovirus isolate Rt22DB31 surface glycoprotein gene, complete cds
21: OR233309.1 Horseshoe bat sarbecovirus isolate Rt22SL67 surface glycoprotein gene, partial cds
22: OR233308.1 Horseshoe bat sarbecovirus isolate Rt21LC39 surface glycoprotein gene, complete cds
23: OR233296.1 Horseshoe bat sarbecovirus isolate Rt22LC378 surface glycoprotein gene, complete cds
24: OR233305.1 Horseshoe bat sarbecovirus isolate Rt321LC192 surface glycoprotein gene, complete cds
25: OR233306.1 Horseshoe bat sarbecovirus isolate Rt22LC371 surface glycoprotein gene, complete cds
26: OR233307.1 Horseshoe bat sarbecovirus isolate Rt22LC376 surface glycoprotein gene, partial cds
27: OR233297.1 Horseshoe bat sarbecovirus isolate Rt21LC92 surface glycoprotein gene, complete cds
28: OR233293.1 Horseshoe bat sarbecovirus isolate Rt22CB395 surface glycoprotein gene, complete cds
29: OK017793.1 Sarbecovirus sp. isolate YN2020A, complete genome
30: OR233304.1 Horseshoe bat sarbecovirus isolate Ra22DB191 surface glycoprotein gene, complete cds
31: OR233292.1 Horseshoe bat sarbecovirus isolate Ra22DB107, complete genome
32: OQ503502.1 Severe acute respiratory syndrome-related coronavirus isolate 6301, complete genome
33: KY417148.1 Bat SARS-like coronavirus isolate Rs4247, complete genome
34: KY417147.1 Bat SARS-like coronavirus isolate Rs4237, complete genome
35: MK211377.1 Coronavirus BtRs-BetaCoV/YN2018C, complete genome
36: KY417142.1 Bat SARS-like coronavirus isolate As6526, complete genome
37: MK211375.1 Coronavirus BtRs-BetaCoV/YN2018A, complete genome
38: MK211378.1 Coronavirus BtRs-BetaCoV/YN2018D, complete genome
39: KY417149.1 Bat SARS-like coronavirus isolate Rs4255, complete genome
40: KY417143.1 Bat SARS-like coronavirus isolate Rs4081, complete genome
41: FJ588686.1 Bat SARS CoV Rs672/2006, complete genome
42: OR233291.1 Horseshoe bat sarbecovirus isolate Ra21CB8 surface glycoprotein gene, complete cds
43: OK017792.1 Sarbecovirus sp. isolate GD2017F, complete genome
44: OK287354.1 Sarbecovirus sp. isolate BetaCoV_Yunnan_Rs_KMC6_2020, complete genome
45: KJ473816.1 BtRs-BetaCoV/YN2013, complete genome
46: KY770859.1 Sarbecovirus sp. isolate Anlong-112, complete genome
47: KY770858.1 Sarbecovirus sp. isolate Anlong-103, complete genome
48: KY417145.1 Bat SARS-like coronavirus isolate Rf4092, complete genome
49: DQ071615.1 Bat SARS coronavirus Rp3, complete genome
50: OK017831.1 Sarbecovirus sp. isolate GZ2021I, complete genome
51: OK017829.1 Sarbecovirus sp. isolate GZ2021C, complete genome
52: OK017830.1 Sarbecovirus sp. isolate GZ2021H, complete genome
53: OQ503505.1 Severe acute respiratory syndrome-related coronavirus isolate 162181, complete genome
54: MK211376.1 Coronavirus BtRs-BetaCoV/YN2018B, complete genome
55: OQ503504.1 Severe acute respiratory syndrome-related coronavirus isolate 162173, complete genome
56: OK017851.1 Sarbecovirus sp. isolate YN2016E, complete genome
57: OK017850.1 Sarbecovirus sp. isolate YN2016D, complete genome
58: OK017849.1 Sarbecovirus sp. isolate YN2016C, complete genome
59: OK017848.1 Sarbecovirus sp. isolate YN2016B, complete genome
60: OK017847.1 Sarbecovirus sp. isolate YN2016A, complete genome
61: OQ503503.1 Severe acute respiratory syndrome-related coronavirus isolate 162171, complete genome
62: KY417152.1 Bat SARS-like coronavirus isolate Rs9401, complete genome
63: KY417151.1 Bat SARS-like coronavirus isolate Rs7327, complete genome
64: OQ503501.1 Severe acute respiratory syndrome-related coronavirus isolate 4230, complete genome
65: OQ503500.1 Severe acute respiratory syndrome-related coronavirus isolate 4105, complete genome
66: KC881006.1 Bat SARS-like coronavirus Rs3367, complete genome
67: KF367457.1 Bat SARS-like coronavirus WIV1, complete genome
68: KC881005.1 Bat SARS-like coronavirus RsSHC014, complete genome
69: KY417144.1 Bat SARS-like coronavirus isolate Rs4084, complete genome
70: OK017858.1 Sarbecovirus sp. isolate YN2020H, complete genome
71: KY417150.1 Bat SARS-like coronavirus isolate Rs4874, complete genome
72: KT444582.1 SARS-like coronavirus WIV16, complete genome
73: KY417146.1 Bat SARS-like coronavirus isolate Rs4231, complete genome
74: AY278489.2 SARS coronavirus GD01, complete genome
75: AY390556.1 SARS coronavirus GZ02, complete genome
76: AY304488.1 SARS coronavirus SZ16, complete genome
77: AY304486.1 SARS coronavirus SZ3, complete genome
78: AY394981.1 SARS coronavirus HGZ8L1-A, partial genome
79: NC_004718.3 SARS coronavirus Tor2, complete genome
80: DQ898174.1 SARS coronavirus strain CV7, complete genome
81: AY323977.2 SARS coronavirus HSR 1, complete genome
82: AY278741.1 SARS coronavirus Urbani, complete genome
83: JN854286.1 SARS coronavirus HKU-39849 isolate recSARS-CoV HKU-39849, complete genome
84: JQ316196.1 SARS coronavirus HKU-39849 isolate UOB, complete genome
85: AY714217.1 SARS Coronavirus CDC#200301157, complete genome
86: AY502932.1 SARS coronavirus TW9, complete genome
87: AY502923.1 SARS coronavirus TW10, complete genome
88: AY502931.1 SARS coronavirus TW8, complete genome
89: AY502930.1 SARS coronavirus TW7, complete genome
90: AY502929.1 SARS coronavirus TW6, complete genome
91: AY502928.1 SARS coronavirus TW5, complete genome
92: AY502927.1 SARS coronavirus TW4, complete genome
93: AY502925.1 SARS coronavirus TW2, complete genome
94: AY291451.1 SARS coronavirus TW1, complete genome
95: AY502926.1 SARS coronavirus TW3, complete genome
96: AP006561.1 SARS coronavirus TWY genomic RNA, complete genome
97: AP006560.1 SARS coronavirus TWS genomic RNA, complete genome
98: AP006559.1 SARS coronavirus TWK genomic RNA, complete genome
99: AP006557.1 SARS coronavirus TWH genomic RNA, complete genome
100: AY362698.1 SARS coronavirus TWC2, complete genome
101: AY362699.1 SARS coronavirus TWC3, complete genome
102: EU371559.1 SARS coronavirus ZJ02, complete genome
103: AY283798.2 SARS coronavirus Sin2774, complete genome
104: AY283796.1 SARS coronavirus Sin2679, complete genome
105: AY283794.1 SARS coronavirus Sin2500, complete genome
106: AY427439.1 SARS coronavirus AS, complete genome
107: AY283797.1 SARS coronavirus Sin2748, complete genome
108: AY310120.1 SARS coronavirus FRA, complete genome
109: AY291315.1 SARS coronavirus Frankfurt 1, complete genome
110: AY283795.1 SARS coronavirus Sin2677, complete genome
111: AY321118.1 SARS coronavirus TWC, complete genome
112: DQ497008.1 SARS coronavirus strain MA-15, complete genome
113: MK062180.1 SARS coronavirus Urbani isolate icSARS-MA, complete genome
114: MK062179.1 SARS coronavirus Urbani isolate icSARS, complete genome
115: AP006558.1 SARS coronavirus TWJ genomic RNA, complete genome
116: AY282752.2 SARS coronavirus CUHK-Su10, complete genome
117: AY345987.1 SARS coronavirus CUHK-AG02, complete genome
118: AY345986.1 SARS coronavirus CUHK-AG01, complete genome
119: AY394998.1 SARS coronavirus LC1, complete genome
120: AY345988.1 SARS coronavirus CUHK-AG03, complete genome
121: AY350750.1 SARS coronavirus PUMC01, complete genome
122: AY278554.2 SARS coronavirus CUHK-W1, complete genome
123: AY394993.1 SARS coronavirus HGZ8L2, complete genome
124: AY394992.1 SARS coronavirus HZS2-C, complete genome
125: AY394990.1 SARS coronavirus HZS2-E, complete genome
126: AY394989.1 SARS coronavirus HZS2-D, complete genome
127: AY394991.1 SARS coronavirus HZS2-Fc, complete genome
128: AY394987.1 SARS coronavirus HZS2-Fb, complete genome
129: AY394983.1 SARS coronavirus HSZ2-A, complete genome
130: AY864805.1 SARS coronavirus BJ162, complete genome
131: AY864806.1 SARS coronavirus BJ202, complete genome
132: AY394982.1 SARS coronavirus HGZ8L1-B, partial genome
133: GU553365.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00003, complete genome
134: GU553364.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00002, complete genome
135: GU553363.1 SARS coronavirus HKU-39849 isolate TCVSP-HARROD-00001, complete genome
136: AY348314.1 SARS coronavirus Taiwan TC3, complete genome
137: AY338174.1 SARS coronavirus Taiwan TC1, complete genome
138: AY338175.1 SARS coronavirus Taiwan TC2, complete genome
139: AY559096.1 SARS coronavirus Sin850, complete genome
140: AY559095.1 SARS coronavirus Sin847, complete genome
141: AY559085.1 SARS coronavirus Sin848, complete genome
